region,model,mae,rmse,r2
AMAZONAS,naive,0.598,0.828,0.484
AMAZONAS,seasonal_naive,1.335,1.778,-1.382
AMAZONAS,holt_winters,0.63,0.845,0.462
AMAZONAS,arima,0.569,0.777,0.545
ANCASH,naive,0.432,0.596,0.664
ANCASH,seasonal_naive,0.874,1.325,-0.659
ANCASH,holt_winters,0.462,0.65,0.601
ANCASH,arima,0.435,0.608,0.651
APURIMAC,naive,0.674,0.935,0.272
APURIMAC,seasonal_naive,0.957,1.336,-0.488
APURIMAC,holt_winters,0.709,0.954,0.242
APURIMAC,arima,0.655,0.897,0.329
AREQUIPA,naive,0.568,0.804,0.571
AREQUIPA,seasonal_naive,1.044,1.487,-0.468
AREQUIPA,holt_winters,0.609,0.865,0.503
AREQUIPA,arima,0.554,0.79,0.585
AYACUCHO,naive,0.829,1.286,0.855
AYACUCHO,seasonal_naive,2.138,3.964,-0.378
AYACUCHO,holt_winters,0.975,1.705,0.745
AYACUCHO,arima,0.812,1.449,0.816
CAJAMARCA,naive,0.197,0.282,0.591
CAJAMARCA,seasonal_naive,0.325,0.479,-0.177
CAJAMARCA,holt_winters,0.207,0.29,0.568
CAJAMARCA,arima,0.192,0.274,0.615
CALLAO,naive,0.456,0.716,0.779
CALLAO,seasonal_naive,0.956,1.516,0.007
CALLAO,holt_winters,0.469,0.725,0.773
CALLAO,arima,0.435,0.711,0.782
CUSCO,naive,0.382,0.496,0.397
CUSCO,seasonal_naive,0.628,0.825,-0.672
CUSCO,holt_winters,0.411,0.524,0.327
CUSCO,arima,0.366,0.475,0.445
HUANCAVELICA,naive,0.889,1.271,0.614
HUANCAVELICA,seasonal_naive,1.624,2.813,-0.89
HUANCAVELICA,holt_winters,0.996,1.431,0.511
HUANCAVELICA,arima,0.872,1.275,0.612
HUANUCO,naive,0.545,0.765,0.375
HUANUCO,seasonal_naive,0.863,1.236,-0.632
HUANUCO,holt_winters,0.578,0.812,0.296
HUANUCO,arima,0.548,0.781,0.348
ICA,naive,0.455,0.764,0.877
ICA,seasonal_naive,1.305,2.842,-0.709
ICA,holt_winters,0.523,0.941,0.813
ICA,arima,0.458,0.829,0.855
JUNIN,naive,0.418,0.588,0.353
JUNIN,seasonal_naive,0.687,0.984,-0.81
JUNIN,holt_winters,0.456,0.623,0.275
JUNIN,arima,0.393,0.555,0.425
LA LIBERTAD,naive,0.345,0.52,0.743
LA LIBERTAD,seasonal_naive,0.833,1.354,-0.748
LA LIBERTAD,holt_winters,0.38,0.584,0.675
LA LIBERTAD,arima,0.338,0.529,0.734
LAMBAYEQUE,naive,0.214,0.457,0.707
LAMBAYEQUE,seasonal_naive,0.59,1.201,-1.025
LAMBAYEQUE,holt_winters,0.229,0.475,0.683
LAMBAYEQUE,arima,0.227,0.484,0.671
LIMA,naive,0.138,0.218,0.792
LIMA,seasonal_naive,0.37,0.606,-0.6
LIMA,holt_winters,0.15,0.235,0.76
LIMA,arima,0.139,0.219,0.792
LORETO,naive,0.381,0.509,0.296
LORETO,seasonal_naive,0.628,0.816,-0.81
LORETO,holt_winters,0.404,0.534,0.225
LORETO,arima,0.351,0.486,0.358
MADRE DE DIOS,naive,0.827,1.282,0.185
MADRE DE DIOS,seasonal_naive,1.254,1.793,-0.594
MADRE DE DIOS,holt_winters,0.874,1.32,0.136
MADRE DE DIOS,arima,0.769,1.172,0.319
MOQUEGUA,naive,1.713,2.651,0.455
MOQUEGUA,seasonal_naive,2.774,4.637,-0.666
MOQUEGUA,holt_winters,1.843,2.851,0.371
MOQUEGUA,arima,1.642,2.516,0.51
PASCO,naive,0.909,1.25,0.33
PASCO,seasonal_naive,1.633,2.262,-1.194
PASCO,holt_winters,0.991,1.309,0.265
PASCO,arima,0.826,1.135,0.447
PIURA,naive,0.438,0.894,0.916
PIURA,seasonal_naive,1.758,3.733,-0.46
PIURA,holt_winters,0.53,1.086,0.876
PIURA,arima,0.466,1.022,0.891
PUNO,naive,0.323,0.415,0.357
PUNO,seasonal_naive,0.508,0.637,-0.515
PUNO,holt_winters,0.334,0.428,0.316
PUNO,arima,0.328,0.419,0.343
SAN MARTIN,naive,0.448,0.782,0.762
SAN MARTIN,seasonal_naive,0.955,1.838,-0.312
SAN MARTIN,holt_winters,0.488,0.85,0.719
SAN MARTIN,arima,0.447,0.799,0.752
TACNA,naive,0.53,0.751,0.466
TACNA,seasonal_naive,0.874,1.191,-0.346
TACNA,holt_winters,0.565,0.777,0.427
TACNA,arima,0.514,0.712,0.519
TUMBES,naive,0.413,0.68,0.289
TUMBES,seasonal_naive,0.652,0.981,-0.48
TUMBES,holt_winters,0.434,0.663,0.324
TUMBES,arima,0.373,0.596,0.454
UCAYALI,naive,0.364,0.506,0.296
UCAYALI,seasonal_naive,0.552,0.765,-0.613
UCAYALI,holt_winters,0.387,0.534,0.215
UCAYALI,arima,0.337,0.464,0.408
