region,model,mae,rmse,r2
AMAZONAS,random_forest,0.524,0.72,0.623
AMAZONAS,xgboost,0.507,0.708,0.635
ANCASH,random_forest,0.38,0.546,0.718
ANCASH,xgboost,0.368,0.529,0.735
APURIMAC,random_forest,0.543,0.766,0.524
APURIMAC,xgboost,0.515,0.741,0.555
AREQUIPA,random_forest,0.437,0.648,0.717
AREQUIPA,xgboost,0.398,0.593,0.764
AYACUCHO,random_forest,0.862,1.655,0.769
AYACUCHO,xgboost,0.825,1.68,0.762
CAJAMARCA,random_forest,0.167,0.24,0.707
CAJAMARCA,xgboost,0.161,0.232,0.725
CALLAO,random_forest,0.399,0.638,0.828
CALLAO,xgboost,0.378,0.607,0.844
CUSCO,random_forest,0.31,0.404,0.605
CUSCO,xgboost,0.293,0.388,0.635
HUANCAVELICA,random_forest,0.792,1.281,0.633
HUANCAVELICA,xgboost,0.72,1.198,0.679
HUANUCO,random_forest,0.416,0.621,0.606
HUANUCO,xgboost,0.393,0.594,0.64
ICA,random_forest,0.479,0.982,0.81
ICA,xgboost,0.434,0.953,0.821
JUNIN,random_forest,0.339,0.468,0.596
JUNIN,xgboost,0.318,0.438,0.646
LA LIBERTAD,random_forest,0.332,0.548,0.722
LA LIBERTAD,xgboost,0.29,0.484,0.783
LAMBAYEQUE,random_forest,0.222,0.476,0.703
LAMBAYEQUE,xgboost,0.223,0.493,0.681
LIMA,random_forest,0.131,0.204,0.825
LIMA,xgboost,0.126,0.201,0.831
LORETO,random_forest,0.301,0.414,0.543
LORETO,xgboost,0.277,0.378,0.62
MADRE DE DIOS,random_forest,0.675,1.013,0.501
MADRE DE DIOS,xgboost,0.651,0.968,0.544
MOQUEGUA,random_forest,1.445,2.343,0.596
MOQUEGUA,xgboost,1.407,2.326,0.602
PASCO,random_forest,0.732,1.067,0.52
PASCO,xgboost,0.696,1.016,0.564
PIURA,random_forest,0.512,1.168,0.866
PIURA,xgboost,0.49,1.156,0.869
PUNO,random_forest,0.254,0.327,0.623
PUNO,xgboost,0.244,0.312,0.657
SAN MARTIN,random_forest,0.431,0.887,0.716
SAN MARTIN,xgboost,0.405,0.864,0.731
TACNA,random_forest,0.419,0.596,0.652
TACNA,xgboost,0.403,0.579,0.671
TUMBES,random_forest,0.356,0.561,0.543
TUMBES,xgboost,0.361,0.554,0.554
UCAYALI,random_forest,0.266,0.378,0.613
UCAYALI,xgboost,0.263,0.382,0.604
