region,model,mae,rmse,r2
AMAZONAS,naive,0.136,0.243,-0.451
AMAZONAS,seasonal_naive,0.184,0.284,-0.987
AMAZONAS,holt_winters,0.149,0.234,-0.351
AMAZONAS,arima,0.14,0.228,-0.279
ANCASH,naive,0.023,0.047,-0.099
ANCASH,seasonal_naive,0.043,0.072,-1.553
ANCASH,holt_winters,0.031,0.053,-0.39
ANCASH,arima,0.024,0.044,0.032
APURIMAC,naive,0.056,0.122,-0.287
APURIMAC,seasonal_naive,0.088,0.156,-1.099
APURIMAC,holt_winters,0.073,0.13,-0.454
APURIMAC,arima,0.061,0.117,-0.18
AREQUIPA,naive,0.025,0.051,0.151
AREQUIPA,seasonal_naive,0.042,0.078,-0.988
AREQUIPA,holt_winters,0.03,0.053,0.089
AREQUIPA,arima,0.026,0.049,0.226
AYACUCHO,naive,0.074,0.124,-0.136
AYACUCHO,seasonal_naive,0.108,0.16,-0.901
AYACUCHO,holt_winters,0.086,0.127,-0.192
AYACUCHO,arima,0.077,0.117,-0.016
CAJAMARCA,naive,0.022,0.046,-0.14
CAJAMARCA,seasonal_naive,0.037,0.062,-1.047
CAJAMARCA,holt_winters,0.03,0.049,-0.273
CAJAMARCA,arima,0.023,0.04,0.117
CALLAO,naive,0.02,0.047,-0.348
CALLAO,seasonal_naive,0.03,0.058,-1.048
CALLAO,holt_winters,0.025,0.046,-0.255
CALLAO,arima,0.021,0.042,-0.07
CUSCO,naive,0.088,0.131,-0.197
CUSCO,seasonal_naive,0.116,0.164,-0.876
CUSCO,holt_winters,0.097,0.135,-0.281
CUSCO,arima,0.086,0.123,-0.055
HUANCAVELICA,naive,0.138,0.221,-0.111
HUANCAVELICA,seasonal_naive,0.184,0.282,-0.812
HUANCAVELICA,holt_winters,0.162,0.228,-0.189
HUANCAVELICA,arima,0.14,0.207,0.021
HUANUCO,naive,0.083,0.126,0.101
HUANUCO,seasonal_naive,0.125,0.177,-0.774
HUANUCO,holt_winters,0.095,0.129,0.058
HUANUCO,arima,0.085,0.121,0.169
ICA,naive,0.019,0.047,-0.463
ICA,seasonal_naive,0.025,0.055,-0.994
ICA,holt_winters,0.023,0.046,-0.372
ICA,arima,0.018,0.041,-0.114
JUNIN,naive,0.069,0.106,-0.238
JUNIN,seasonal_naive,0.084,0.116,-0.474
JUNIN,holt_winters,0.078,0.114,-0.432
JUNIN,arima,0.068,0.102,-0.148
LA LIBERTAD,naive,0.034,0.055,-0.346
LA LIBERTAD,seasonal_naive,0.049,0.074,-1.387
LA LIBERTAD,holt_winters,0.039,0.056,-0.392
LA LIBERTAD,arima,0.034,0.053,-0.216
LAMBAYEQUE,naive,0.012,0.032,-0.362
LAMBAYEQUE,seasonal_naive,0.018,0.04,-1.136
LAMBAYEQUE,holt_winters,0.016,0.032,-0.389
LAMBAYEQUE,arima,0.012,0.029,-0.1
LIMA,naive,0.01,0.015,-0.238
LIMA,seasonal_naive,0.013,0.019,-0.772
LIMA,holt_winters,0.012,0.017,-0.421
LIMA,arima,0.01,0.015,-0.158
LORETO,naive,0.124,0.173,0.217
LORETO,seasonal_naive,0.167,0.221,-0.282
LORETO,holt_winters,0.138,0.186,0.092
LORETO,arima,0.121,0.165,0.282
MADRE DE DIOS,naive,0.056,0.188,-0.301
MADRE DE DIOS,seasonal_naive,0.067,0.223,-0.828
MADRE DE DIOS,holt_winters,0.072,0.19,-0.321
MADRE DE DIOS,arima,0.057,0.167,-0.03
MOQUEGUA,naive,0.04,0.15,-0.556
MOQUEGUA,seasonal_naive,0.05,0.169,-0.969
MOQUEGUA,holt_winters,0.053,0.149,-0.535
MOQUEGUA,arima,0.039,0.127,-0.118
PASCO,naive,0.165,0.291,-0.356
PASCO,seasonal_naive,0.22,0.354,-1.014
PASCO,holt_winters,0.194,0.292,-0.367
PASCO,arima,0.167,0.275,-0.212
PIURA,naive,0.027,0.046,-0.431
PIURA,seasonal_naive,0.037,0.057,-1.203
PIURA,holt_winters,0.031,0.049,-0.634
PIURA,arima,0.026,0.043,-0.256
PUNO,naive,0.085,0.128,0.259
PUNO,seasonal_naive,0.127,0.179,-0.442
PUNO,holt_winters,0.097,0.141,0.109
PUNO,arima,0.084,0.125,0.297
SAN MARTIN,naive,0.039,0.071,-0.296
SAN MARTIN,seasonal_naive,0.047,0.083,-0.765
SAN MARTIN,holt_winters,0.045,0.071,-0.285
SAN MARTIN,arima,0.037,0.064,-0.038
TACNA,naive,0.044,0.136,-0.59
TACNA,seasonal_naive,0.06,0.156,-1.095
TACNA,holt_winters,0.054,0.124,-0.311
TACNA,arima,0.044,0.12,-0.226
TUMBES,naive,0.014,0.078,-0.29
TUMBES,seasonal_naive,0.024,0.103,-1.259
TUMBES,holt_winters,0.025,0.082,-0.411
TUMBES,arima,0.014,0.07,-0.037
UCAYALI,naive,0.154,0.236,-0.518
UCAYALI,seasonal_naive,0.19,0.272,-1.016
UCAYALI,holt_winters,0.164,0.239,-0.547
UCAYALI,arima,0.14,0.197,-0.05
