region,model,mae,rmse,r2
AMAZONAS,random_forest,0.098,0.145,0.429
AMAZONAS,xgboost,0.1,0.149,0.393
ANCASH,random_forest,0.022,0.034,0.417
ANCASH,xgboost,0.023,0.035,0.386
APURIMAC,random_forest,0.049,0.08,0.449
APURIMAC,xgboost,0.053,0.087,0.339
AREQUIPA,random_forest,0.018,0.029,0.449
AREQUIPA,xgboost,0.019,0.031,0.374
AYACUCHO,random_forest,0.064,0.089,0.405
AYACUCHO,xgboost,0.065,0.092,0.372
CAJAMARCA,random_forest,0.021,0.032,0.457
CAJAMARCA,xgboost,0.021,0.032,0.444
CALLAO,random_forest,0.018,0.031,0.404
CALLAO,xgboost,0.019,0.033,0.319
CUSCO,random_forest,0.065,0.089,0.452
CUSCO,xgboost,0.064,0.087,0.476
HUANCAVELICA,random_forest,0.109,0.154,0.472
HUANCAVELICA,xgboost,0.105,0.149,0.503
HUANUCO,random_forest,0.066,0.089,0.451
HUANUCO,xgboost,0.064,0.085,0.495
ICA,random_forest,0.015,0.03,0.397
ICA,xgboost,0.016,0.034,0.268
JUNIN,random_forest,0.05,0.069,0.478
JUNIN,xgboost,0.049,0.067,0.506
LA LIBERTAD,random_forest,0.026,0.035,0.434
LA LIBERTAD,xgboost,0.025,0.034,0.451
LAMBAYEQUE,random_forest,0.009,0.018,0.469
LAMBAYEQUE,xgboost,0.009,0.02,0.351
LIMA,random_forest,0.008,0.011,0.401
LIMA,xgboost,0.008,0.011,0.404
LORETO,random_forest,0.09,0.12,0.556
LORETO,xgboost,0.087,0.119,0.565
MADRE DE DIOS,random_forest,0.04,0.123,0.448
MADRE DE DIOS,xgboost,0.047,0.141,0.267
MOQUEGUA,random_forest,0.026,0.082,0.453
MOQUEGUA,xgboost,0.028,0.096,0.261
PASCO,random_forest,0.124,0.182,0.455
PASCO,xgboost,0.121,0.178,0.476
PIURA,random_forest,0.02,0.028,0.438
PIURA,xgboost,0.02,0.029,0.426
PUNO,random_forest,0.066,0.087,0.604
PUNO,xgboost,0.064,0.083,0.637
SAN MARTIN,random_forest,0.026,0.045,0.448
SAN MARTIN,xgboost,0.028,0.048,0.355
TACNA,random_forest,0.028,0.069,0.495
TACNA,xgboost,0.029,0.072,0.445
TUMBES,random_forest,0.015,0.056,0.385
TUMBES,xgboost,0.015,0.063,0.236
UCAYALI,random_forest,0.111,0.156,0.37
UCAYALI,xgboost,0.11,0.153,0.393
