region,model,mae,rmse,r2
AMAZONAS,naive,0.545,0.778,0.4
AMAZONAS,seasonal_naive,0.863,1.17,-0.357
AMAZONAS,holt_winters,0.57,0.802,0.363
AMAZONAS,arima,0.518,0.752,0.439
ANCASH,naive,0.517,0.727,0.63
ANCASH,seasonal_naive,1.035,1.348,-0.272
ANCASH,holt_winters,0.515,0.728,0.629
ANCASH,arima,0.511,0.734,0.623
APURIMAC,naive,0.734,1.029,0.48
APURIMAC,seasonal_naive,1.445,2.016,-0.995
APURIMAC,holt_winters,0.742,1.073,0.435
APURIMAC,arima,0.673,0.946,0.56
AREQUIPA,naive,0.61,0.913,0.81
AREQUIPA,seasonal_naive,1.42,2.064,0.028
AREQUIPA,holt_winters,0.578,0.831,0.842
AREQUIPA,arima,0.588,0.893,0.818
AYACUCHO,naive,0.585,0.869,0.562
AYACUCHO,seasonal_naive,1.114,1.547,-0.389
AYACUCHO,holt_winters,0.633,0.897,0.533
AYACUCHO,arima,0.576,0.831,0.6
CAJAMARCA,naive,0.386,0.575,0.589
CAJAMARCA,seasonal_naive,0.657,0.915,-0.039
CAJAMARCA,holt_winters,0.383,0.554,0.619
CAJAMARCA,arima,0.373,0.542,0.635
CALLAO,naive,0.263,0.382,0.709
CALLAO,seasonal_naive,0.624,0.915,-0.67
CALLAO,holt_winters,0.283,0.399,0.682
CALLAO,arima,0.274,0.391,0.695
CUSCO,naive,0.521,0.739,0.602
CUSCO,seasonal_naive,0.955,1.249,-0.138
CUSCO,holt_winters,0.506,0.715,0.627
CUSCO,arima,0.525,0.757,0.582
HUANCAVELICA,naive,0.775,1.131,0.465
HUANCAVELICA,seasonal_naive,1.246,1.621,-0.1
HUANCAVELICA,holt_winters,0.828,1.153,0.444
HUANCAVELICA,arima,0.756,1.107,0.488
HUANUCO,naive,0.895,1.344,0.762
HUANUCO,seasonal_naive,1.528,2.054,0.444
HUANUCO,holt_winters,0.899,1.252,0.793
HUANUCO,arima,0.851,1.295,0.779
ICA,naive,0.388,0.634,0.692
ICA,seasonal_naive,0.595,0.895,0.387
ICA,holt_winters,0.421,0.65,0.677
ICA,arima,0.392,0.63,0.696
JUNIN,naive,0.43,0.671,0.662
JUNIN,seasonal_naive,0.834,1.201,-0.082
JUNIN,holt_winters,0.431,0.627,0.705
JUNIN,arima,0.401,0.614,0.717
LA LIBERTAD,naive,0.254,0.38,0.691
LA LIBERTAD,seasonal_naive,0.526,0.704,-0.06
LA LIBERTAD,holt_winters,0.271,0.395,0.667
LA LIBERTAD,arima,0.24,0.364,0.717
LAMBAYEQUE,naive,0.188,0.304,0.408
LAMBAYEQUE,seasonal_naive,0.334,0.499,-0.596
LAMBAYEQUE,holt_winters,0.209,0.324,0.326
LAMBAYEQUE,arima,0.183,0.297,0.433
LIMA,naive,0.25,0.363,0.801
LIMA,seasonal_naive,0.547,0.775,0.095
LIMA,holt_winters,0.247,0.343,0.823
LIMA,arima,0.227,0.338,0.827
LORETO,naive,0.923,1.409,0.755
LORETO,seasonal_naive,1.769,2.606,0.162
LORETO,holt_winters,0.954,1.395,0.76
LORETO,arima,0.858,1.331,0.781
MADRE DE DIOS,naive,1.829,2.527,0.158
MADRE DE DIOS,seasonal_naive,2.755,3.576,-0.686
MADRE DE DIOS,holt_winters,2.014,2.762,-0.006
MADRE DE DIOS,arima,1.567,2.207,0.358
MOQUEGUA,naive,1.073,1.633,0.479
MOQUEGUA,seasonal_naive,1.738,2.445,-0.168
MOQUEGUA,holt_winters,1.16,1.694,0.439
MOQUEGUA,arima,1.058,1.569,0.519
PASCO,naive,1.3,1.989,0.605
PASCO,seasonal_naive,2.299,3.205,-0.026
PASCO,holt_winters,1.432,2.06,0.576
PASCO,arima,1.31,1.944,0.622
PIURA,naive,0.376,0.558,0.698
PIURA,seasonal_naive,0.635,0.846,0.306
PIURA,holt_winters,0.403,0.583,0.671
PIURA,arima,0.359,0.528,0.73
PUNO,naive,0.429,0.639,0.731
PUNO,seasonal_naive,0.905,1.279,-0.079
PUNO,holt_winters,0.438,0.626,0.742
PUNO,arima,0.427,0.642,0.728
SAN MARTIN,naive,0.444,0.662,0.517
SAN MARTIN,seasonal_naive,0.87,1.247,-0.718
SAN MARTIN,holt_winters,0.473,0.69,0.475
SAN MARTIN,arima,0.443,0.662,0.516
TACNA,naive,0.289,0.47,0.214
TACNA,seasonal_naive,0.435,0.623,-0.384
TACNA,holt_winters,0.319,0.488,0.151
TACNA,arima,0.283,0.456,0.257
TUMBES,naive,0.836,1.276,0.339
TUMBES,seasonal_naive,1.435,2.076,-0.75
TUMBES,holt_winters,0.895,1.338,0.274
TUMBES,arima,0.791,1.189,0.427
UCAYALI,naive,0.917,1.406,0.508
UCAYALI,seasonal_naive,1.564,2.193,-0.196
UCAYALI,holt_winters,0.995,1.495,0.444
UCAYALI,arima,0.909,1.404,0.509
