region,model,mae,rmse,r2
AMAZONAS,random_forest,0.425,0.595,0.669
AMAZONAS,xgboost,0.395,0.558,0.709
ANCASH,random_forest,0.386,0.523,0.811
ANCASH,xgboost,0.36,0.483,0.839
APURIMAC,random_forest,0.569,0.779,0.669
APURIMAC,xgboost,0.538,0.747,0.696
AREQUIPA,random_forest,0.488,0.79,0.861
AREQUIPA,xgboost,0.434,0.716,0.886
AYACUCHO,random_forest,0.448,0.658,0.756
AYACUCHO,xgboost,0.425,0.641,0.769
CAJAMARCA,random_forest,0.267,0.402,0.777
CAJAMARCA,xgboost,0.244,0.384,0.797
CALLAO,random_forest,0.219,0.32,0.805
CALLAO,xgboost,0.213,0.317,0.809
CUSCO,random_forest,0.347,0.477,0.817
CUSCO,xgboost,0.333,0.459,0.83
HUANCAVELICA,random_forest,0.559,0.739,0.721
HUANCAVELICA,xgboost,0.52,0.691,0.756
HUANUCO,random_forest,0.661,0.909,0.878
HUANUCO,xgboost,0.618,0.842,0.895
ICA,random_forest,0.266,0.392,0.852
ICA,xgboost,0.253,0.367,0.87
JUNIN,random_forest,0.31,0.461,0.844
JUNIN,xgboost,0.291,0.443,0.856
LA LIBERTAD,random_forest,0.195,0.275,0.807
LA LIBERTAD,xgboost,0.184,0.255,0.834
LAMBAYEQUE,random_forest,0.165,0.268,0.563
LAMBAYEQUE,xgboost,0.155,0.255,0.604
LIMA,random_forest,0.172,0.241,0.913
LIMA,xgboost,0.161,0.222,0.926
LORETO,random_forest,0.637,0.898,0.878
LORETO,xgboost,0.579,0.805,0.902
MADRE DE DIOS,random_forest,1.347,1.901,0.536
MADRE DE DIOS,xgboost,1.288,1.833,0.568
MOQUEGUA,random_forest,0.775,1.073,0.75
MOQUEGUA,xgboost,0.742,1.029,0.77
PASCO,random_forest,0.918,1.301,0.791
PASCO,xgboost,0.874,1.231,0.813
PIURA,random_forest,0.249,0.337,0.872
PIURA,xgboost,0.237,0.327,0.879
PUNO,random_forest,0.299,0.439,0.856
PUNO,xgboost,0.276,0.395,0.883
SAN MARTIN,random_forest,0.354,0.524,0.583
SAN MARTIN,xgboost,0.319,0.478,0.654
TACNA,random_forest,0.218,0.329,0.628
TACNA,xgboost,0.218,0.328,0.629
TUMBES,random_forest,0.697,1.044,0.572
TUMBES,xgboost,0.684,1.014,0.596
UCAYALI,random_forest,0.645,0.934,0.776
UCAYALI,xgboost,0.602,0.871,0.805
