year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,108.0,15.0,52,2.08,0.29,13.89,,
2007,93.0,21.0,53,1.75,0.4,22.58,-13.89,40.0
2008,120.0,30.0,52,2.31,0.58,25.0,29.03,42.86
2009,156.0,15.0,52,3.0,0.29,9.62,30.0,-50.0
2010,204.0,9.0,52,3.92,0.17,4.41,30.77,-40.0
2011,123.0,12.0,52,2.37,0.23,9.76,-39.71,33.33
2012,228.0,3.0,53,4.3,0.06,1.32,85.37,-75.0
2013,273.0,3.0,52,5.25,0.06,1.1,19.74,0.0
2014,309.0,6.0,52,5.94,0.12,1.94,13.19,100.0
2015,303.0,0.0,52,5.83,0.0,0.0,-1.94,-100.0
2016,273.0,21.0,52,5.25,0.4,7.69,-9.9,inf
2017,465.0,9.0,52,8.94,0.17,1.94,70.33,-57.14
2018,294.0,6.0,53,5.55,0.11,2.04,-36.77,-33.33
2019,252.0,3.0,52,4.85,0.06,1.19,-14.29,-50.0
2020,402.0,129.0,52,7.73,2.48,32.09,59.52,4200.0
2021,546.0,276.0,52,10.5,5.31,50.55,35.82,113.95
2022,330.0,66.0,52,6.35,1.27,20.0,-39.56,-76.09
2023,543.0,66.0,52,10.44,1.27,12.15,64.55,0.0
