year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,24.0,0.0,52,0.46,0.0,0.0,,
2007,225.0,15.0,53,4.25,0.28,6.67,837.5,inf
2008,30.0,24.0,52,0.58,0.46,80.0,-86.67,60.0
2009,402.0,15.0,52,7.73,0.29,3.73,1240.0,-37.5
2010,429.0,24.0,52,8.25,0.46,5.59,6.72,60.0
2011,381.0,12.0,52,7.33,0.23,3.15,-11.19,-50.0
2012,543.0,18.0,53,10.25,0.34,3.31,42.52,50.0
2013,789.0,24.0,52,15.17,0.46,3.04,45.3,33.33
2014,741.0,15.0,52,14.25,0.29,2.02,-6.08,-37.5
2015,537.0,6.0,52,10.33,0.12,1.12,-27.53,-60.0
2016,615.0,27.0,52,11.83,0.52,4.39,14.53,350.0
2017,900.0,36.0,52,17.31,0.69,4.0,46.34,33.33
2018,1239.0,33.0,53,23.38,0.62,2.66,37.67,-8.33
2019,1593.0,18.0,52,30.63,0.35,1.13,28.57,-45.45
2020,840.0,39.0,52,16.15,0.75,4.64,-47.27,116.67
2021,2190.0,177.0,52,42.12,3.4,8.08,160.71,353.85
2022,1479.0,45.0,52,28.44,0.87,3.04,-32.47,-74.58
2023,1329.0,45.0,52,25.56,0.87,3.39,-10.14,0.0
