year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,261.0,18.0,52,5.02,0.35,6.9,,
2007,513.0,27.0,53,9.68,0.51,5.26,96.55,50.0
2008,633.0,42.0,52,12.17,0.81,6.64,23.39,55.56
2009,396.0,21.0,52,7.62,0.4,5.3,-37.44,-50.0
2010,444.0,3.0,52,8.54,0.06,0.68,12.12,-85.71
2011,114.0,9.0,52,2.19,0.17,7.89,-74.32,200.0
2012,168.0,24.0,53,3.17,0.45,14.29,47.37,166.67
2013,165.0,15.0,52,3.17,0.29,9.09,-1.79,-37.5
2014,243.0,12.0,52,4.67,0.23,4.94,47.27,-20.0
2015,237.0,6.0,52,4.56,0.12,2.53,-2.47,-50.0
2016,432.0,39.0,52,8.31,0.75,9.03,82.28,550.0
2017,348.0,27.0,52,6.69,0.52,7.76,-19.44,-30.77
2018,510.0,69.0,53,9.62,1.3,13.53,46.55,155.56
2019,474.0,72.0,52,9.12,1.38,15.19,-7.06,4.35
2020,228.0,48.0,52,4.38,0.92,21.05,-51.9,-33.33
2021,192.0,21.0,52,3.69,0.4,10.94,-15.79,-56.25
2022,486.0,78.0,52,9.35,1.5,16.05,153.12,271.43
2023,636.0,123.0,52,12.23,2.37,19.34,30.86,57.69
