year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,3.0,0.0,52,0.06,0.0,0.0,,
2007,309.0,144.0,53,5.83,2.72,46.6,10200.0,inf
2008,162.0,177.0,52,3.12,3.4,109.26,-47.57,22.92
2009,1140.0,228.0,52,21.92,4.38,20.0,603.7,28.81
2010,1347.0,255.0,52,25.9,4.9,18.93,18.16,11.84
2011,2244.0,321.0,52,43.15,6.17,14.3,66.59,25.88
2012,2331.0,459.0,53,43.98,8.66,19.69,3.88,42.99
2013,1620.0,213.0,52,31.15,4.1,13.15,-30.5,-53.59
2014,1290.0,138.0,52,24.81,2.65,10.7,-20.37,-35.21
2015,1125.0,27.0,52,21.63,0.52,2.4,-12.79,-80.43
2016,1290.0,108.0,52,24.81,2.08,8.37,14.67,300.0
2017,1602.0,195.0,52,30.81,3.75,12.17,24.19,80.56
2018,1812.0,156.0,53,34.19,2.94,8.61,13.11,-20.0
2019,1638.0,654.0,52,31.5,12.58,39.93,-9.6,319.23
2020,2673.0,369.0,52,51.4,7.1,13.8,63.19,-43.58
2021,3558.0,342.0,52,68.42,6.58,9.61,33.11,-7.32
2022,2298.0,861.0,52,44.19,16.56,37.47,-35.41,151.75
2023,1692.0,888.0,52,32.54,17.08,52.48,-26.37,3.14
