year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,66.0,3.0,52,1.27,0.06,4.55,,
2007,150.0,24.0,53,2.83,0.45,16.0,127.27,700.0
2008,93.0,9.0,52,1.79,0.17,9.68,-38.0,-62.5
2009,120.0,3.0,52,2.31,0.06,2.5,29.03,-66.67
2010,171.0,15.0,52,3.29,0.29,8.77,42.5,400.0
2011,261.0,3.0,52,5.02,0.06,1.15,52.63,-80.0
2012,321.0,9.0,53,6.06,0.17,2.8,22.99,200.0
2013,717.0,90.0,52,13.79,1.73,12.55,123.36,900.0
2014,924.0,108.0,52,17.77,2.08,11.69,28.87,20.0
2015,654.0,0.0,52,12.58,0.0,0.0,-29.22,-100.0
2016,672.0,159.0,52,12.92,3.06,23.66,2.75,inf
2017,693.0,114.0,52,13.33,2.19,16.45,3.12,-28.3
2018,921.0,183.0,53,17.38,3.45,19.87,32.9,60.53
2019,948.0,171.0,52,18.23,3.29,18.04,2.93,-6.56
2020,462.0,153.0,52,8.88,2.94,33.12,-51.27,-10.53
2021,4143.0,1365.0,52,79.67,26.25,32.95,796.75,792.16
2022,2793.0,489.0,52,53.71,9.4,17.51,-32.59,-64.18
2023,1281.0,300.0,52,24.63,5.77,23.42,-54.14,-38.65
