year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,81.0,0.0,52,1.56,0.0,0.0,,
2007,75.0,6.0,53,1.42,0.11,8.0,-7.41,inf
2008,285.0,0.0,52,5.48,0.0,0.0,280.0,-100.0
2009,153.0,0.0,52,2.94,0.0,0.0,-46.32,
2010,81.0,9.0,52,1.56,0.17,11.11,-47.06,inf
2011,99.0,3.0,52,1.9,0.06,3.03,22.22,-66.67
2012,174.0,18.0,53,3.28,0.34,10.34,75.76,500.0
2013,210.0,6.0,52,4.04,0.12,2.86,20.69,-66.67
2014,255.0,6.0,52,4.9,0.12,2.35,21.43,0.0
2015,90.0,9.0,52,1.73,0.17,10.0,-64.71,50.0
2016,222.0,12.0,52,4.27,0.23,5.41,146.67,33.33
2017,354.0,36.0,52,6.81,0.69,10.17,59.46,200.0
2018,504.0,45.0,53,9.51,0.85,8.93,42.37,25.0
2019,687.0,42.0,52,13.21,0.81,6.11,36.31,-6.67
2020,687.0,51.0,52,13.21,0.98,7.42,0.0,21.43
2021,783.0,21.0,52,15.06,0.4,2.68,13.97,-58.82
2022,618.0,15.0,52,11.88,0.29,2.43,-21.07,-28.57
2023,1005.0,15.0,52,19.33,0.29,1.49,62.62,0.0
