year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,21.0,3.0,52,0.4,0.06,14.29,,
2007,18.0,3.0,53,0.34,0.06,16.67,-14.29,0.0
2008,18.0,9.0,52,0.35,0.17,50.0,0.0,200.0
2009,18.0,12.0,52,0.35,0.23,66.67,0.0,33.33
2010,48.0,0.0,52,0.92,0.0,0.0,166.67,-100.0
2011,84.0,9.0,52,1.62,0.17,10.71,75.0,inf
2012,87.0,6.0,53,1.64,0.11,6.9,3.57,-33.33
2013,162.0,102.0,52,3.12,1.96,62.96,86.21,1600.0
2014,129.0,96.0,52,2.48,1.85,74.42,-20.37,-5.88
2015,591.0,0.0,52,11.37,0.0,0.0,358.14,-100.0
2016,315.0,216.0,52,6.06,4.15,68.57,-46.7,inf
2017,591.0,306.0,52,11.37,5.88,51.78,87.62,41.67
2018,1338.0,315.0,53,25.25,5.94,23.54,126.4,2.94
2019,1302.0,390.0,52,25.04,7.5,29.95,-2.69,23.81
2020,2091.0,426.0,52,40.21,8.19,20.37,60.6,9.23
2021,2220.0,1167.0,52,42.69,22.44,52.57,6.17,173.94
2022,1209.0,399.0,52,23.25,7.67,33.0,-45.54,-65.81
2023,1506.0,246.0,52,28.96,4.73,16.33,24.57,-38.35
