year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,774.0,39.0,52,14.88,0.75,5.04,,
2007,1410.0,93.0,53,26.6,1.75,6.6,82.17,138.46
2008,927.0,96.0,52,17.83,1.85,10.36,-34.26,3.23
2009,978.0,51.0,52,18.81,0.98,5.21,5.5,-46.88
2010,1314.0,87.0,52,25.27,1.67,6.62,34.36,70.59
2011,1179.0,84.0,52,22.67,1.62,7.12,-10.27,-3.45
2012,1161.0,39.0,53,21.91,0.74,3.36,-1.53,-53.57
2013,1077.0,27.0,52,20.71,0.52,2.51,-7.24,-30.77
2014,801.0,90.0,52,15.4,1.73,11.24,-25.63,233.33
2015,759.0,3.0,52,14.6,0.06,0.4,-5.24,-96.67
2016,987.0,156.0,52,18.98,3.0,15.81,30.04,5100.0
2017,1146.0,141.0,52,22.04,2.71,12.3,16.11,-9.62
2018,1455.0,342.0,53,27.45,6.45,23.51,26.96,142.55
2019,1284.0,243.0,52,24.69,4.67,18.93,-11.75,-28.95
2020,888.0,201.0,52,17.08,3.87,22.64,-30.84,-17.28
2021,1368.0,276.0,52,26.31,5.31,20.18,54.05,37.31
2022,1110.0,447.0,52,21.35,8.6,40.27,-18.86,61.96
2023,2277.0,609.0,52,43.79,11.71,26.75,105.14,36.24
