year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,180.0,351.0,52,3.46,6.75,195.0,,
2007,183.0,192.0,53,3.45,3.62,104.92,1.67,-45.3
2008,201.0,108.0,52,3.87,2.08,53.73,9.84,-43.75
2009,219.0,114.0,52,4.21,2.19,52.05,8.96,5.56
2010,321.0,156.0,52,6.17,3.0,48.6,46.58,36.84
2011,351.0,120.0,52,6.75,2.31,34.19,9.35,-23.08
2012,378.0,93.0,53,7.13,1.75,24.6,7.69,-22.5
2013,444.0,183.0,52,8.54,3.52,41.22,17.46,96.77
2014,405.0,174.0,52,7.79,3.35,42.96,-8.78,-4.92
2015,396.0,69.0,52,7.62,1.33,17.42,-2.22,-60.34
2016,552.0,114.0,52,10.62,2.19,20.65,39.39,65.22
2017,282.0,102.0,52,5.42,1.96,36.17,-48.91,-10.53
2018,489.0,294.0,53,9.23,5.55,60.12,73.4,188.24
2019,354.0,141.0,52,6.81,2.71,39.83,-27.61,-52.04
2020,285.0,81.0,52,5.48,1.56,28.42,-19.49,-42.55
2021,1269.0,438.0,52,24.4,8.42,34.52,345.26,440.74
2022,606.0,144.0,52,11.65,2.77,23.76,-52.25,-67.12
2023,660.0,189.0,52,12.69,3.63,28.64,8.91,31.25
