year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,120.0,27.0,52,2.31,0.52,22.5,,
2007,231.0,24.0,53,4.36,0.45,10.39,92.5,-11.11
2008,99.0,36.0,52,1.9,0.69,36.36,-57.14,50.0
2009,258.0,33.0,52,4.96,0.63,12.79,160.61,-8.33
2010,456.0,33.0,52,8.77,0.63,7.24,76.74,0.0
2011,339.0,57.0,52,6.52,1.1,16.81,-25.66,72.73
2012,417.0,45.0,53,7.87,0.85,10.79,23.01,-21.05
2013,330.0,54.0,52,6.35,1.04,16.36,-20.86,20.0
2014,327.0,48.0,52,6.29,0.92,14.68,-0.91,-11.11
2015,450.0,3.0,52,8.65,0.06,0.67,37.61,-93.75
2016,651.0,39.0,52,12.52,0.75,5.99,44.67,1200.0
2017,519.0,48.0,52,9.98,0.92,9.25,-20.28,23.08
2018,597.0,45.0,53,11.26,0.85,7.54,15.03,-6.25
2019,531.0,39.0,52,10.21,0.75,7.34,-11.06,-13.33
2020,1119.0,66.0,52,21.52,1.27,5.9,110.73,69.23
2021,786.0,192.0,52,15.12,3.69,24.43,-29.76,190.91
2022,876.0,33.0,52,16.85,0.63,3.77,11.45,-82.81
2023,519.0,90.0,52,9.98,1.73,17.34,-40.75,172.73
