year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,0.0,0.0,52,0.0,0.0,,,
2007,159.0,6.0,53,3.0,0.11,3.77,inf,inf
2008,510.0,21.0,52,9.81,0.4,4.12,220.75,250.0
2009,441.0,9.0,52,8.48,0.17,2.04,-13.53,-57.14
2010,405.0,15.0,52,7.79,0.29,3.7,-8.16,66.67
2011,246.0,39.0,52,4.73,0.75,15.85,-39.26,160.0
2012,240.0,69.0,53,4.53,1.3,28.75,-2.44,76.92
2013,396.0,156.0,52,7.62,3.0,39.39,65.0,126.09
2014,360.0,15.0,52,6.92,0.29,4.17,-9.09,-90.38
2015,393.0,6.0,52,7.56,0.12,1.53,9.17,-60.0
2016,384.0,168.0,52,7.38,3.23,43.75,-2.29,2700.0
2017,309.0,216.0,52,5.94,4.15,69.9,-19.53,28.57
2018,495.0,285.0,53,9.34,5.38,57.58,60.19,31.94
2019,570.0,297.0,52,10.96,5.71,52.11,15.15,4.21
2020,1485.0,240.0,52,28.56,4.62,16.16,160.53,-19.19
2021,3660.0,1086.0,52,70.38,20.88,29.67,146.46,352.5
2022,912.0,567.0,52,17.54,10.9,62.17,-75.08,-47.79
2023,1011.0,456.0,52,19.44,8.77,45.1,10.86,-19.58
