year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,138.0,12.0,52,2.65,0.23,8.7,,
2007,396.0,63.0,53,7.47,1.19,15.91,186.96,425.0
2008,342.0,36.0,52,6.58,0.69,10.53,-13.64,-42.86
2009,345.0,63.0,52,6.63,1.21,18.26,0.88,75.0
2010,720.0,81.0,52,13.85,1.56,11.25,108.7,28.57
2011,591.0,24.0,52,11.37,0.46,4.06,-17.92,-70.37
2012,894.0,60.0,53,16.87,1.13,6.71,51.27,150.0
2013,1059.0,63.0,52,20.37,1.21,5.95,18.46,5.0
2014,1200.0,72.0,52,23.08,1.38,6.0,13.31,14.29
2015,1119.0,0.0,52,21.52,0.0,0.0,-6.75,-100.0
2016,1233.0,57.0,52,23.71,1.1,4.62,10.19,inf
2017,873.0,33.0,52,16.79,0.63,3.78,-29.2,-42.11
2018,1443.0,81.0,53,27.23,1.53,5.61,65.29,145.45
2019,879.0,57.0,52,16.9,1.1,6.48,-39.09,-29.63
2020,540.0,18.0,52,10.38,0.35,3.33,-38.57,-68.42
2021,1227.0,129.0,52,23.6,2.48,10.51,127.22,616.67
2022,1218.0,381.0,52,23.42,7.33,31.28,-0.73,195.35
2023,1446.0,165.0,52,27.81,3.17,11.41,18.72,-56.69
