year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,243.0,6.0,52,4.67,0.12,2.47,,
2007,582.0,21.0,53,10.98,0.4,3.61,139.51,250.0
2008,735.0,42.0,52,14.13,0.81,5.71,26.29,100.0
2009,756.0,39.0,52,14.54,0.75,5.16,2.86,-7.14
2010,636.0,102.0,52,12.23,1.96,16.04,-15.87,161.54
2011,558.0,132.0,52,10.73,2.54,23.66,-12.26,29.41
2012,1068.0,606.0,53,20.15,11.43,56.74,91.4,359.09
2013,1140.0,405.0,52,21.92,7.79,35.53,6.74,-33.17
2014,1014.0,228.0,52,19.5,4.38,22.49,-11.05,-43.7
2015,843.0,0.0,52,16.21,0.0,0.0,-16.86,-100.0
2016,1023.0,396.0,52,19.67,7.62,38.71,21.35,inf
2017,1155.0,768.0,52,22.21,14.77,66.49,12.9,93.94
2018,1167.0,192.0,53,22.02,3.62,16.45,1.04,-75.0
2019,1623.0,261.0,52,31.21,5.02,16.08,39.07,35.94
2020,3084.0,1962.0,52,59.31,37.73,63.62,90.02,651.72
2021,2724.0,1473.0,52,52.38,28.33,54.07,-11.67,-24.92
2022,1146.0,54.0,52,22.04,1.04,4.71,-57.93,-96.33
2023,1407.0,435.0,52,27.06,8.37,30.92,22.77,705.56
