year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,3.0,0.0,52,0.06,0.0,0.0,,
2007,12.0,0.0,53,0.23,0.0,0.0,300.0,
2008,0.0,0.0,52,0.0,0.0,,-100.0,
2009,12.0,0.0,52,0.23,0.0,0.0,inf,
2010,12.0,0.0,52,0.23,0.0,0.0,0.0,
2011,15.0,0.0,52,0.29,0.0,0.0,25.0,
2012,30.0,3.0,53,0.57,0.06,10.0,100.0,inf
2013,276.0,6.0,52,5.31,0.12,2.17,820.0,100.0
2014,204.0,0.0,52,3.92,0.0,0.0,-26.09,-100.0
2015,138.0,0.0,52,2.65,0.0,0.0,-32.35,
2016,141.0,0.0,52,2.71,0.0,0.0,2.17,
2017,87.0,12.0,52,1.67,0.23,13.79,-38.3,inf
2018,138.0,12.0,53,2.6,0.23,8.7,58.62,0.0
2019,84.0,6.0,52,1.62,0.12,7.14,-39.13,-50.0
2020,885.0,15.0,52,17.02,0.29,1.69,953.57,150.0
2021,1503.0,195.0,52,28.9,3.75,12.97,69.83,1200.0
2022,204.0,6.0,52,3.92,0.12,2.94,-86.43,-96.92
2023,153.0,9.0,52,2.94,0.17,5.88,-25.0,50.0
