year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,402.0,57.0,52,7.73,1.1,14.18,,
2007,801.0,162.0,53,15.11,3.06,20.22,99.25,184.21
2008,762.0,123.0,52,14.65,2.37,16.14,-4.87,-24.07
2009,933.0,192.0,52,17.94,3.69,20.58,22.44,56.1
2010,1614.0,207.0,52,31.04,3.98,12.83,72.99,7.81
2011,2715.0,423.0,52,52.21,8.13,15.58,68.22,104.35
2012,3165.0,612.0,53,59.72,11.55,19.34,16.57,44.68
2013,2328.0,747.0,52,44.77,14.37,32.09,-26.45,22.06
2014,2517.0,813.0,52,48.4,15.63,32.3,8.12,8.84
2015,3021.0,51.0,52,58.1,0.98,1.69,20.02,-93.73
2016,4920.0,1716.0,52,94.62,33.0,34.88,62.86,3264.71
2017,5406.0,1794.0,52,103.96,34.5,33.19,9.88,4.55
2018,5814.0,1284.0,53,109.7,24.23,22.08,7.55,-28.43
2019,5439.0,1380.0,52,104.6,26.54,25.37,-6.45,7.48
2020,6642.0,2361.0,52,127.73,45.4,35.55,22.12,71.09
2021,9240.0,4794.0,52,177.69,92.19,51.88,39.11,103.05
2022,6156.0,2076.0,52,118.38,39.92,33.72,-33.38,-56.7
2023,6231.0,2172.0,52,119.83,41.77,34.86,1.22,4.62
