year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,117.0,3.0,52,2.25,0.06,2.56,,
2007,174.0,3.0,53,3.28,0.06,1.72,48.72,0.0
2008,375.0,12.0,52,7.21,0.23,3.2,115.52,300.0
2009,675.0,36.0,52,12.98,0.69,5.33,80.0,200.0
2010,312.0,3.0,52,6.0,0.06,0.96,-53.78,-91.67
2011,303.0,21.0,52,5.83,0.4,6.93,-2.88,600.0
2012,561.0,42.0,53,10.58,0.79,7.49,85.15,100.0
2013,651.0,36.0,52,12.52,0.69,5.53,16.04,-14.29
2014,729.0,27.0,52,14.02,0.52,3.7,11.98,-25.0
2015,738.0,12.0,52,14.19,0.23,1.63,1.23,-55.56
2016,669.0,15.0,52,12.87,0.29,2.24,-9.35,25.0
2017,426.0,60.0,52,8.19,1.15,14.08,-36.32,300.0
2018,522.0,27.0,53,9.85,0.51,5.17,22.54,-55.0
2019,639.0,45.0,52,12.29,0.87,7.04,22.41,66.67
2020,291.0,39.0,52,5.6,0.75,13.4,-54.46,-13.33
2021,210.0,75.0,52,4.04,1.44,35.71,-27.84,92.31
2022,753.0,276.0,52,14.48,5.31,36.65,258.57,268.0
2023,612.0,114.0,52,11.77,2.19,18.63,-18.73,-58.7
