year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,45.0,3.0,52,0.87,0.06,6.67,,
2007,60.0,0.0,53,1.13,0.0,0.0,33.33,-100.0
2008,12.0,3.0,52,0.23,0.06,25.0,-80.0,inf
2009,42.0,0.0,52,0.81,0.0,0.0,250.0,-100.0
2010,30.0,0.0,52,0.58,0.0,0.0,-28.57,
2011,18.0,6.0,52,0.35,0.12,33.33,-40.0,inf
2012,27.0,3.0,53,0.51,0.06,11.11,50.0,-50.0
2013,45.0,0.0,52,0.87,0.0,0.0,66.67,-100.0
2014,72.0,3.0,52,1.38,0.06,4.17,60.0,inf
2015,81.0,0.0,52,1.56,0.0,0.0,12.5,-100.0
2016,66.0,0.0,52,1.27,0.0,0.0,-18.52,
2017,78.0,9.0,52,1.5,0.17,11.54,18.18,inf
2018,135.0,12.0,53,2.55,0.23,8.89,73.08,33.33
2019,225.0,6.0,52,4.33,0.12,2.67,66.67,-50.0
2020,42.0,3.0,52,0.81,0.06,7.14,-81.33,-50.0
2021,276.0,54.0,52,5.31,1.04,19.57,557.14,1700.0
2022,282.0,48.0,52,5.42,0.92,17.02,2.17,-11.11
2023,246.0,18.0,52,4.73,0.35,7.32,-12.77,-62.5
