year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,12.0,6.0,52,0.23,0.12,50.0,,
2007,117.0,12.0,53,2.21,0.23,10.26,875.0,100.0
2008,96.0,21.0,52,1.85,0.4,21.88,-17.95,75.0
2009,144.0,27.0,52,2.77,0.52,18.75,50.0,28.57
2010,156.0,33.0,52,3.0,0.63,21.15,8.33,22.22
2011,195.0,24.0,52,3.75,0.46,12.31,25.0,-27.27
2012,282.0,24.0,53,5.32,0.45,8.51,44.62,0.0
2013,225.0,12.0,52,4.33,0.23,5.33,-20.21,-50.0
2014,195.0,18.0,52,3.75,0.35,9.23,-13.33,50.0
2015,303.0,0.0,52,5.83,0.0,0.0,55.38,-100.0
2016,279.0,12.0,52,5.37,0.23,4.3,-7.92,inf
2017,402.0,60.0,52,7.73,1.15,14.93,44.09,400.0
2018,390.0,81.0,53,7.36,1.53,20.77,-2.99,35.0
2019,546.0,102.0,52,10.5,1.96,18.68,40.0,25.93
2020,591.0,210.0,52,11.37,4.04,35.53,8.24,105.88
2021,1089.0,255.0,52,20.94,4.9,23.42,84.26,21.43
2022,396.0,90.0,52,7.62,1.73,22.73,-63.64,-64.71
2023,369.0,24.0,52,7.1,0.46,6.5,-6.82,-73.33
