year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,6.0,0.0,52,0.12,0.0,0.0,,
2007,129.0,6.0,53,2.43,0.11,4.65,2050.0,inf
2008,105.0,3.0,52,2.02,0.06,2.86,-18.6,-50.0
2009,210.0,6.0,52,4.04,0.12,2.86,100.0,100.0
2010,246.0,21.0,52,4.73,0.4,8.54,17.14,250.0
2011,240.0,6.0,52,4.62,0.12,2.5,-2.44,-71.43
2012,252.0,33.0,53,4.75,0.62,13.1,5.0,450.0
2013,330.0,36.0,52,6.35,0.69,10.91,30.95,9.09
2014,249.0,6.0,52,4.79,0.12,2.41,-24.55,-83.33
2015,258.0,0.0,52,4.96,0.0,0.0,3.61,-100.0
2016,186.0,6.0,52,3.58,0.12,3.23,-27.91,inf
2017,216.0,12.0,52,4.15,0.23,5.56,16.13,100.0
2018,321.0,3.0,53,6.06,0.06,0.93,48.61,-75.0
2019,321.0,3.0,52,6.17,0.06,0.93,0.0,0.0
2020,429.0,3.0,52,8.25,0.06,0.7,33.64,0.0
2021,513.0,123.0,52,9.87,2.37,23.98,19.58,4000.0
2022,204.0,24.0,52,3.92,0.46,11.76,-60.23,-80.49
2023,213.0,15.0,52,4.1,0.29,7.04,4.41,-37.5
