year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,54.0,6.0,52,1.04,0.12,11.11,,
2007,84.0,0.0,53,1.58,0.0,0.0,55.56,-100.0
2008,78.0,0.0,52,1.5,0.0,0.0,-7.14,
2009,90.0,0.0,52,1.73,0.0,0.0,15.38,
2010,285.0,0.0,52,5.48,0.0,0.0,216.67,
2011,318.0,3.0,52,6.12,0.06,0.94,11.58,inf
2012,561.0,12.0,53,10.58,0.23,2.14,76.42,300.0
2013,537.0,39.0,52,10.33,0.75,7.26,-4.28,225.0
2014,405.0,45.0,52,7.79,0.87,11.11,-24.58,15.38
2015,399.0,0.0,52,7.67,0.0,0.0,-1.48,-100.0
2016,672.0,198.0,52,12.92,3.81,29.46,68.42,inf
2017,984.0,195.0,52,18.92,3.75,19.82,46.43,-1.52
2018,693.0,174.0,53,13.08,3.28,25.11,-29.57,-10.77
2019,936.0,192.0,52,18.0,3.69,20.51,35.06,10.34
2020,6666.0,567.0,52,128.19,10.9,8.51,612.18,195.31
2021,9678.0,5361.0,52,186.12,103.1,55.39,45.18,845.5
2022,2157.0,522.0,52,41.48,10.04,24.2,-77.71,-90.26
2023,2487.0,270.0,52,47.83,5.19,10.86,15.3,-48.28
