year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,3.0,0.0,52,0.06,0.0,0.0,,
2007,261.0,135.0,53,4.92,2.55,51.72,8600.0,inf
2008,246.0,162.0,52,4.73,3.12,65.85,-5.75,20.0
2009,270.0,108.0,52,5.19,2.08,40.0,9.76,-33.33
2010,492.0,384.0,52,9.46,7.38,78.05,82.22,255.56
2011,678.0,387.0,52,13.04,7.44,57.08,37.8,0.78
2012,741.0,219.0,53,13.98,4.13,29.55,9.29,-43.41
2013,552.0,84.0,52,10.62,1.62,15.22,-25.51,-61.64
2014,522.0,90.0,52,10.04,1.73,17.24,-5.43,7.14
2015,696.0,120.0,52,13.38,2.31,17.24,33.33,33.33
2016,834.0,141.0,52,16.04,2.71,16.91,19.83,17.5
2017,858.0,99.0,52,16.5,1.9,11.54,2.88,-29.79
2018,1074.0,138.0,53,20.26,2.6,12.85,25.17,39.39
2019,1044.0,108.0,52,20.08,2.08,10.34,-2.79,-21.74
2020,792.0,72.0,52,15.23,1.38,9.09,-24.14,-33.33
2021,615.0,111.0,52,11.83,2.13,18.05,-22.35,54.17
2022,846.0,69.0,52,16.27,1.33,8.16,37.56,-37.84
2023,1299.0,96.0,52,24.98,1.85,7.39,53.55,39.13
