year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,6.0,3.0,52,0.12,0.06,50.0,,
2007,45.0,0.0,53,0.85,0.0,0.0,650.0,-100.0
2008,15.0,0.0,52,0.29,0.0,0.0,-66.67,
2009,75.0,3.0,52,1.44,0.06,4.0,400.0,inf
2010,267.0,21.0,52,5.13,0.4,7.87,256.0,600.0
2011,288.0,24.0,52,5.54,0.46,8.33,7.87,14.29
2012,114.0,3.0,53,2.15,0.06,2.63,-60.42,-87.5
2013,198.0,0.0,52,3.81,0.0,0.0,73.68,-100.0
2014,168.0,3.0,52,3.23,0.06,1.79,-15.15,inf
2015,186.0,0.0,52,3.58,0.0,0.0,10.71,-100.0
2016,246.0,12.0,52,4.73,0.23,4.88,32.26,inf
2017,261.0,12.0,52,5.02,0.23,4.6,6.1,0.0
2018,294.0,0.0,53,5.55,0.0,0.0,12.64,-100.0
2019,426.0,9.0,52,8.19,0.17,2.11,44.9,inf
2020,1146.0,375.0,52,22.04,7.21,32.72,169.01,4066.67
2021,1926.0,540.0,52,37.04,10.38,28.04,68.06,44.0
2022,1497.0,297.0,52,28.79,5.71,19.84,-22.27,-45.0
2023,1176.0,240.0,52,22.62,4.62,20.41,-21.44,-19.19
