year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,0.0,0.0,52,0.0,0.0,,,
2007,9.0,15.0,53,0.17,0.28,166.67,inf,inf
2008,0.0,0.0,52,0.0,0.0,,-100.0,-100.0
2009,72.0,3.0,52,1.38,0.06,4.17,inf,inf
2010,198.0,15.0,52,3.81,0.29,7.58,175.0,400.0
2011,306.0,117.0,52,5.88,2.25,38.24,54.55,680.0
2012,201.0,144.0,53,3.79,2.72,71.64,-34.31,23.08
2013,72.0,51.0,52,1.38,0.98,70.83,-64.18,-64.58
2014,117.0,39.0,52,2.25,0.75,33.33,62.5,-23.53
2015,72.0,0.0,52,1.38,0.0,0.0,-38.46,-100.0
2016,30.0,6.0,52,0.58,0.12,20.0,-58.33,inf
2017,111.0,9.0,52,2.13,0.17,8.11,270.0,50.0
2018,294.0,69.0,53,5.55,1.3,23.47,164.86,666.67
2019,282.0,36.0,52,5.42,0.69,12.77,-4.08,-47.83
2020,393.0,21.0,52,7.56,0.4,5.34,39.36,-41.67
2021,291.0,6.0,52,5.6,0.12,2.06,-25.95,-71.43
2022,396.0,9.0,52,7.62,0.17,2.27,36.08,50.0
2023,75.0,12.0,52,1.44,0.23,16.0,-81.06,33.33
