year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,0.0,0.0,52,0.0,0.0,,,
2007,42.0,0.0,53,0.79,0.0,0.0,inf,
2008,57.0,3.0,52,1.1,0.06,5.26,35.71,inf
2009,63.0,3.0,52,1.21,0.06,4.76,10.53,0.0
2010,66.0,0.0,52,1.27,0.0,0.0,4.76,-100.0
2011,27.0,0.0,52,0.52,0.0,0.0,-59.09,
2012,24.0,0.0,53,0.45,0.0,0.0,-11.11,
2013,135.0,0.0,52,2.6,0.0,0.0,462.5,
2014,168.0,0.0,52,3.23,0.0,0.0,24.44,
2015,147.0,0.0,52,2.83,0.0,0.0,-12.5,
2016,87.0,9.0,52,1.67,0.17,10.34,-40.82,inf
2017,117.0,6.0,52,2.25,0.12,5.13,34.48,-33.33
2018,135.0,0.0,53,2.55,0.0,0.0,15.38,-100.0
2019,3.0,3.0,52,0.06,0.06,100.0,-97.78,inf
2020,18.0,0.0,52,0.35,0.0,0.0,500.0,-100.0
2021,21.0,0.0,52,0.4,0.0,0.0,16.67,
2022,6.0,0.0,52,0.12,0.0,0.0,-71.43,
2023,156.0,12.0,52,3.0,0.23,7.69,2500.0,inf
