year,hospitalizations,deaths,weeks,avg_hospitalizations_week,avg_deaths_week,death_hospitalization_ratio,hospitalization_change_pct,death_change_pct
2006,27.0,0.0,52,0.52,0.0,0.0,,
2007,81.0,3.0,53,1.53,0.06,3.7,200.0,inf
2008,57.0,3.0,52,1.1,0.06,5.26,-29.63,0.0
2009,12.0,0.0,52,0.23,0.0,0.0,-78.95,-100.0
2010,75.0,0.0,52,1.44,0.0,0.0,525.0,
2011,177.0,0.0,52,3.4,0.0,0.0,136.0,
2012,153.0,18.0,53,2.89,0.34,11.76,-13.56,inf
2013,147.0,15.0,52,2.83,0.29,10.2,-3.92,-16.67
2014,51.0,0.0,52,0.98,0.0,0.0,-65.31,-100.0
2015,69.0,0.0,52,1.33,0.0,0.0,35.29,
2016,36.0,0.0,52,0.69,0.0,0.0,-47.83,
2017,153.0,3.0,52,2.94,0.06,1.96,325.0,inf
2018,291.0,21.0,53,5.49,0.4,7.22,90.2,600.0
2019,459.0,27.0,52,8.83,0.52,5.88,57.73,28.57
2020,285.0,81.0,52,5.48,1.56,28.42,-37.91,200.0
2021,321.0,6.0,52,6.17,0.12,1.87,12.63,-92.59
2022,222.0,18.0,52,4.27,0.35,8.11,-30.84,200.0
2023,204.0,48.0,52,3.92,0.92,23.53,-8.11,166.67
