department,date_min,date_max,n_observado,n_esperado,pct_cobertura,n_faltantes
TACNA,2000-01-03,2022-12-26,1192,1200,99.33,8
APURIMAC,2000-01-03,2022-12-26,1197,1200,99.75,3
CUSCO,2000-01-03,2022-12-26,1197,1200,99.75,3
PUNO,2000-01-03,2022-12-26,1197,1200,99.75,3
LAMBAYEQUE,2000-01-03,2022-12-26,1197,1200,99.75,3
LORETO,2000-01-03,2022-12-26,1197,1200,99.75,3
PASCO,2000-01-03,2023-01-02,1198,1201,99.75,3
TUMBES,2000-01-03,2022-12-26,1197,1200,99.75,3
JUNIN,2000-01-03,2022-12-26,1197,1200,99.75,3
PIURA,2000-01-03,2022-12-26,1197,1200,99.75,3
AREQUIPA,2000-01-03,2022-12-26,1197,1200,99.75,3
UCAYALI,2000-01-03,2022-12-26,1197,1200,99.75,3
AMAZONAS,2000-01-03,2022-12-26,1197,1200,99.75,3
HUANUCO,2000-01-03,2022-12-26,1197,1200,99.75,3
LA LIBERTAD,2000-01-03,2022-12-26,1197,1200,99.75,3
SAN MARTIN,2000-01-03,2022-12-26,1197,1200,99.75,3
CAJAMARCA,2000-01-03,2022-12-26,1197,1200,99.75,3
ANCASH,2000-01-03,2022-12-26,1197,1200,99.75,3
HUANCAVELICA,2000-01-03,2022-12-26,1197,1200,99.75,3
MOQUEGUA,2000-01-03,2022-12-26,1197,1200,99.75,3
MADRE DE DIOS,2000-01-03,2022-12-26,1197,1200,99.75,3
AYACUCHO,2000-01-03,2022-12-26,1197,1200,99.75,3
ICA,2000-01-03,2022-12-26,1197,1200,99.75,3
LIMA,2000-01-03,2023-01-02,1199,1201,99.83,2
