department,province,pct_silence,n_obs,slope_pct_per_year
LAMBAYEQUE,FERRENAFE,64.56,3750,-1.8435
LAMBAYEQUE,LAMBAYEQUE,61.182,3756,-3.286
PIURA,SECHURA,60.128,3747,-1.7572
PIURA,TALARA,59.744,3756,-0.0708
AMAZONAS,CONDORCANQUI,59.425,3756,0.313
LIMA,BARRANCA,57.878,3732,-0.7796
PIURA,AYABACA,57.029,3756,0.1296
LAMBAYEQUE,CHICLAYO,56.869,3756,-0.7411
CAJAMARCA,CHOTA,55.156,3753,-2.8319
AREQUIPA,ISLAY,53.686,3744,0.9086
HUANUCO,PUERTO INCA,47.318,3747,-1.2205
AMAZONAS,BAGUA,47.204,3756,1.0763
LORETO,DATEM DEL MARANON,46.172,3723,-0.2068
LORETO,ALTO AMAZONAS,44.676,3747,-0.2834
AREQUIPA,CARAVELI,44.285,3753,-0.1687
UCAYALI,PADRE ABAD,43.85,3756,0.2718
LIMA,HUAURA,43.625,3741,-1.0321
PIURA,PAITA,43.45,3756,-2.1287
LORETO,LORETO,43.387,3720,1.1459
CAJAMARCA,CUTERVO,43.051,3756,-0.9494
AREQUIPA,CAMANA,42.8,3750,1.3277
AMAZONAS,LUYA,41.294,3756,-2.1081
TACNA,TACNA,41.219,3741,-4.4523
LORETO,UCAYALI,40.262,3666,-0.9433
LORETO,REQUENA,39.663,3744,0.5762
AREQUIPA,CAYLLOMA,39.537,3756,-1.8272
LIMA,HUAROCHIRI,39.058,3756,0.7053
SAN MARTIN,MOYOBAMBA,38.88,3750,0.1937
PIURA,MORROPON,38.64,3750,0.1566
AMAZONAS,UTCUBAMBA,38.578,3756,-1.8155
PUNO,AZANGARO,38.48,3750,0.2429
PUNO,SANDIA,38.412,3741,-3.1512
AREQUIPA,CASTILLA,38.0,3750,1.4588
LORETO,MARISCAL RAMON CASTILLA,37.47,3747,-0.5674
SAN MARTIN,MARISCAL CACERES,36.919,3681,-1.1137
HUANUCO,MARANON,36.581,3756,-1.8504
MADRE DE DIOS,MANU,36.56,3750,-1.7663
CUSCO,ANTA,36.371,3753,0.5933
CAJAMARCA,JAEN,36.182,3756,0.4191
APURIMAC,ANDAHUAYLAS,36.131,3753,1.1789
HUANUCO,HUACAYBAMBA,36.131,3753,-1.4107
LIMA,HUARAL,36.029,3747,2.2087
TUMBES,TUMBES,34.585,3756,-0.5708
AMAZONAS,RODRIGUEZ DE MENDOZA,34.265,3756,-1.7497
CUSCO,URUBAMBA,33.68,3750,0.2247
ICA,CHINCHA,33.173,3753,-1.8645
AYACUCHO,LA MAR,32.588,3756,-1.8443
MADRE DE DIOS,TAHUAMANU,32.586,3747,-0.6444
AREQUIPA,LA UNION,32.522,3699,-0.1592
CAJAMARCA,HUALGAYOC,32.205,3633,-2.6308
AMAZONAS,CHACHAPOYAS,32.188,3756,-2.1428
LA LIBERTAD,VIRU,31.789,3756,-0.641
SAN MARTIN,LAMAS,31.115,3741,-1.0707
AMAZONAS,BONGARA,30.665,3747,-2.0533
UCAYALI,ATALAYA,30.62,3723,-1.3355
CUSCO,CALCA,30.536,3753,-0.3115
SAN MARTIN,TOCACHE,30.201,3735,-2.0347
AREQUIPA,CONDESUYOS,30.112,3756,0.3193
MADRE DE DIOS,TAMBOPATA,30.112,3756,-1.9259
LA LIBERTAD,PATAZ,30.056,3753,-1.402
ANCASH,HUAYLAS,29.784,3747,-2.3201
CAJAMARCA,SAN MIGUEL,29.393,3756,-2.187
PASCO,DANIEL ALCIDES CARRION,29.313,3756,-1.5545
LA LIBERTAD,SANCHEZ CARRION,29.28,3750,-1.1141
JUNIN,YAULI,29.28,3750,-1.6392
CAJAMARCA,SAN IGNACIO,29.177,3753,-1.1036
SAN MARTIN,SAN MARTIN,28.928,3723,-1.8135
PASCO,OXAPAMPA,28.514,3756,-0.4882
PUNO,CHUCUITO,28.261,3726,-1.8351
ANCASH,YUNGAY,28.035,3756,-1.0272
JUNIN,JAUJA,27.955,3756,-1.6596
APURIMAC,AYMARAES,27.942,3747,-2.1835
SAN MARTIN,HUALLAGA,27.941,3672,-0.3764
ANCASH,CASMA,27.68,3750,-1.4257
APURIMAC,CHINCHEROS,27.578,3753,-1.8855
JUNIN,SATIPO,27.418,3753,-0.2549
PIURA,HUANCABAMBA,27.077,3756,0.9442
APURIMAC,GRAU,27.018,3753,-1.3842
LA LIBERTAD,ASCOPE,26.757,3756,-1.148
CAJAMARCA,CONTUMAZA,26.699,3753,-2.1626
AYACUCHO,HUANTA,26.619,3753,-1.636
LA LIBERTAD,PACASMAYO,26.518,3756,-1.4401
CUSCO,PAUCARTAMBO,26.341,3747,0.0839
HUANCAVELICA,HUAYTARA,26.118,3756,-1.801
PUNO,MELGAR,25.77,3702,-0.1313
CAJAMARCA,SAN MARCOS,25.349,3657,-0.3964
CUSCO,PARURO,24.84,3756,-0.7732
SAN MARTIN,RIOJA,24.738,3723,-0.393
SAN MARTIN,EL DORADO,24.632,3666,-1.0819
JUNIN,CONCEPCION,24.601,3756,-1.9136
HUANUCO,AMBO,24.359,3744,-0.9946
ANCASH,CARHUAZ,24.221,3753,-1.6459
ANCASH,PALLASCA,23.901,3753,-1.8102
HUANUCO,HUAMALIES,23.642,3756,-0.5469
LA LIBERTAD,BOLIVAR,23.558,3744,-1.9984
CUSCO,ESPINAR,23.379,3747,0.3056
ANCASH,BOLOGNESI,23.36,3750,-1.9404
CUSCO,QUISPICANCHI,23.163,3756,-0.7126
HUANUCO,LAURICOCHA,22.862,3753,-2.1718
ANCASH,HUARI,22.604,3756,-0.5118
CAJAMARCA,CAJABAMBA,22.441,3663,-0.3053
CAJAMARCA,SANTA CRUZ,22.371,3366,-2.4637
LA LIBERTAD,JULCAN,22.32,3750,-0.5716
SAN MARTIN,PICOTA,21.951,3690,-0.6556
JUNIN,CHUPACA,21.663,3753,-1.1341
LA LIBERTAD,SANTIAGO DE CHUCO,21.645,3756,-1.6106
APURIMAC,COTABAMBAS,21.583,3753,-0.377
HUANCAVELICA,CHURCAMPA,21.565,3756,-0.8317
CAJAMARCA,SAN PABLO,21.183,3753,-2.3743
CAJAMARCA,CELENDIN,21.152,3645,-0.2755
HUANUCO,YAROWILCA,21.103,3753,-1.4576
HUANUCO,PACHITEA,20.994,3744,-0.7408
CUSCO,ACOMAYO,20.847,3756,-0.7712
PUNO,LAMPA,20.64,3750,-1.5329
PUNO,CARABAYA,20.496,3747,-1.3232
JUNIN,TARMA,20.48,3750,-0.4845
PUNO,HUANCANE,20.4,3750,0.0269
MOQUEGUA,ILO,20.367,3756,0.6434
LA LIBERTAD,OTUZCO,20.288,3756,-1.1081
HUANCAVELICA,ACOBAMBA,20.208,3756,-0.274
JUNIN,JUNIN,20.16,3750,-1.1929
ANCASH,POMABAMBA,20.064,3753,-2.2612
HUANCAVELICA,ANGARAES,19.904,3753,-0.833
HUANUCO,DOS DE MAYO,19.904,3753,-0.9359
LORETO,PUTUMAYO,19.858,3384,-0.3225
UCAYALI,PURUS,19.69,3672,-1.7242
HUANCAVELICA,CASTROVIRREYNA,19.265,3753,-1.6265
ICA,PALPA,19.2,3750,-0.3359
PUNO,SAN ANTONIO DE PUTINA,19.171,3693,-1.6676
CUSCO,CANAS,19.071,3744,-1.7323
ANCASH,MARISCAL LUZURIAGA,19.04,3750,-1.6668
AYACUCHO,LUCANAS,19.025,3753,-1.8208
PUNO,EL COLLAO,18.897,3699,-1.6298
SAN MARTIN,BELLAVISTA,18.775,3723,-1.6538
HUANCAVELICA,TAYACAJA,18.77,3756,0.2701
ANCASH,SIHUAS,18.655,3747,-1.5185
PUNO,YUNGUYO,18.263,3696,-1.3178
CUSCO,CANCHIS,18.094,3747,-0.329
LA LIBERTAD,GRAN CHIMU,18.051,3756,-1.6974
CUSCO,CHUMBIVILCAS,17.652,3756,-0.7871
ANCASH,HUARAZ,17.572,3756,-0.3516
ICA,NAZCA,17.506,3753,-0.6187
LIMA,CANETE,17.412,3756,0.3645
APURIMAC,ANTABAMBA,16.627,3753,-1.8437
TUMBES,ZARUMILLA,16.466,3735,-1.1226
HUANUCO,LEONCIO PRADO,16.253,3747,-0.5261
ANCASH,SANTA,16.054,3756,-1.459
TUMBES,CONTRALMIRANTE VILLAR,15.523,3672,-1.0859
AYACUCHO,CANGALLO,15.495,3756,-0.9934
AYACUCHO,HUAMANGA,15.335,3756,-1.5192
APURIMAC,ABANCAY,15.176,3756,-0.5983
ANCASH,HUARMEY,15.016,3756,-0.5937
CAJAMARCA,CAJAMARCA,14.996,3741,-0.3031
JUNIN,CHANCHAMAYO,14.936,3756,-0.1808
PUNO,PUNO,14.8,3750,-1.0584
ANCASH,AIJA,14.766,3657,-0.7583
AYACUCHO,PARINACOCHAS,14.758,3720,-0.5654
ANCASH,CARLOS FERMIN FITZCARRALD,14.663,3744,-0.7262
ANCASH,RECUAY,14.354,3741,-0.3447
MOQUEGUA,GENERAL SANCHEZ CERRO,14.297,3756,-1.0185
