department,cases_total__is_iqr,cases_total__is_mad,cases_total__is_roll,cases_total__is_seas,hosp_total__is_iqr,hosp_total__is_mad,hosp_total__is_roll,hosp_total__is_seas,deaths_total__is_iqr,deaths_total__is_mad,deaths_total__is_roll,deaths_total__is_seas,is_iforest,n_obs
AMAZONAS,65,46,0,67,53,34,0,53,31,0,18,0,13,1249
ANCASH,48,33,0,44,38,23,0,19,28,0,9,1,13,1249
APURIMAC,57,33,1,41,36,36,0,23,308,0,21,0,13,1249
AREQUIPA,40,12,0,14,29,24,0,19,104,66,5,66,13,1249
AYACUCHO,51,34,0,41,84,70,1,70,137,0,14,16,13,1249
CAJAMARCA,68,53,1,62,66,20,0,25,57,0,16,1,13,1249
CALLAO,16,6,1,9,35,60,0,42,170,0,19,3,13,1249
CUSCO,61,48,0,29,48,20,1,15,50,21,0,19,13,1249
HUANCAVELICA,91,78,0,78,56,37,0,39,29,14,0,14,13,1249
HUANUCO,41,30,0,44,35,22,0,12,72,1,4,6,13,1249
ICA,55,55,1,45,47,45,0,35,172,0,16,6,13,1250
JUNIN,60,44,1,56,50,37,1,17,107,0,10,7,13,1249
LA LIBERTAD,32,16,1,28,44,32,0,29,117,86,6,89,13,1249
LAMBAYEQUE,72,43,0,49,75,90,5,86,81,0,34,0,13,1249
LIMA,36,17,0,32,17,6,0,9,48,67,1,98,13,1250
LORETO,51,41,0,21,68,44,0,28,104,6,3,8,13,1250
MADRE DE DIOS,42,6,2,19,43,64,4,54,93,0,30,0,13,1249
MOQUEGUA,38,12,0,28,61,18,2,25,240,0,25,0,13,1249
PASCO,69,21,0,15,50,50,0,13,264,0,21,0,13,1249
PIURA,45,32,1,32,83,77,0,82,160,0,6,39,13,1250
PUNO,90,66,0,57,53,38,0,24,16,30,3,22,13,1249
SAN MARTIN,31,29,2,31,47,42,1,39,296,0,26,0,13,1250
TACNA,34,22,1,24,31,0,7,30,142,0,15,0,13,1244
TUMBES,59,37,3,46,53,37,9,38,30,0,15,0,13,1249
UCAYALI,43,26,0,28,71,24,1,26,18,0,22,0,13,1249
